Ticket ID,Ticket Subject,Ticket Type,predicted_type,Ticket Priority,predicted_priority
66,Battery life,Technical issue,Billing inquiry,Medium,Medium
67,Product compatibility,Billing inquiry,Cancellation request,High,High
68,Peripheral compatibility,Cancellation request,Cancellation request,Low,Critical
69,Product compatibility,Technical issue,Billing inquiry,Critical,High
70,Refund request,Refund request,Product inquiry,High,High
71,Product setup,Cancellation request,Cancellation request,Medium,Critical
72,Delivery problem,Refund request,Refund request,Medium,Medium
73,Display issue,Billing inquiry,Billing inquiry,Low,Critical
74,Payment issue,Cancellation request,Refund request,Critical,Medium
75,Product setup,Billing inquiry,Cancellation request,Critical,Critical
76,Display issue,Product inquiry,Product inquiry,Critical,Critical
77,Account access,Cancellation request,Cancellation request,Critical,High
78,Delivery problem,Billing inquiry,Cancellation request,Low,High
79,Data loss,Billing inquiry,Cancellation request,Medium,Medium
80,Software bug,Technical issue,Product inquiry,Critical,High
81,Product recommendation,Technical issue,Technical issue,Critical,Critical
82,Cancellation request,Cancellation request,Product inquiry,Medium,Low
83,Software bug,Refund request,Refund request,Low,Low
84,Installation support,Technical issue,Technical issue,Critical,Critical
85,Hardware issue,Technical issue,Refund request,Medium,High
86,Peripheral compatibility,Product inquiry,Cancellation request,High,High
87,Product recommendation,Technical issue,Refund request,Critical,Critical
88,Delivery problem,Technical issue,Product inquiry,High,Low
89,Product setup,Billing inquiry,Billing inquiry,Critical,Critical
90,Product recommendation,Product inquiry,Product inquiry,Medium,Medium
91,Software bug,Refund request,Technical issue,High,Medium
92,Display issue,Product inquiry,Technical issue,Low,High
93,Peripheral compatibility,Technical issue,Technical issue,Low,Low
94,Installation support,Refund request,Refund request,Low,Low
95,Account access,Product inquiry,Refund request,Critical,Medium
96,Battery life,Product inquiry,Refund request,High,Low
97,Battery life,Cancellation request,Product inquiry,High,Low
98,Delivery problem,Product inquiry,Cancellation request,High,Medium
99,Refund request,Billing inquiry,Refund request,High,Critical
100,Hardware issue,Technical issue,Technical issue,Low,Low
101,Delivery problem,Cancellation request,Refund request,High,High
102,Software bug,Billing inquiry,Technical issue,Critical,Critical
103,Battery life,Refund request,Technical issue,Critical,Medium
104,Battery life,Refund request,Refund request,High,Medium
105,Product recommendation,Refund request,Refund request,High,Low
106,Battery life,Product inquiry,Technical issue,Critical,Medium
107,Installation support,Cancellation request,Cancellation request,Low,High
108,Account access,Technical issue,Product inquiry,High,High
109,Product setup,Technical issue,Technical issue,Critical,Low
110,Account access,Product inquiry,Billing inquiry,High,High
111,Peripheral compatibility,Cancellation request,Cancellation request,High,High
112,Display issue,Refund request,Technical issue,High,High
113,Display issue,Product inquiry,Refund request,Medium,High
114,Payment issue,Cancellation request,Product inquiry,High,Medium
115,Battery life,Cancellation request,Cancellation request,High,High
116,Delivery problem,Technical issue,Technical issue,Critical,Critical
117,Software bug,Cancellation request,Cancellation request,High,High
118,Product setup,Billing inquiry,Refund request,Medium,Medium
119,Data loss,Refund request,Product inquiry,High,High
120,Software bug,Billing inquiry,Technical issue,Low,Medium
121,Refund request,Billing inquiry,Cancellation request,Medium,Critical
122,Peripheral compatibility,Product inquiry,Refund request,Critical,Critical
123,Installation support,Refund request,Refund request,Low,Low
124,Battery life,Product inquiry,Technical issue,Low,Low
125,Product setup,Technical issue,Refund request,High,Critical
126,Display issue,Refund request,Refund request,Medium,Medium
127,Cancellation request,Billing inquiry,Cancellation request,Low,Medium
128,Cancellation request,Refund request,Cancellation request,Low,Low
129,Hardware issue,Cancellation request,Refund request,Medium,Medium
130,Cancellation request,Cancellation request,Cancellation request,Low,Low
131,Product recommendation,Billing inquiry,Product inquiry,Medium,High
132,Battery life,Product inquiry,Technical issue,Critical,Critical
133,Data loss,Cancellation request,Cancellation request,Medium,High
134,Refund request,Refund request,Refund request,Critical,High
135,Product setup,Cancellation request,Cancellation request,Critical,Medium
136,Software bug,Product inquiry,Product inquiry,Low,Low
137,Software bug,Cancellation request,Technical issue,Critical,Medium
138,Network problem,Technical issue,Technical issue,Low,High
139,Product compatibility,Product inquiry,Product inquiry,Critical,Critical
140,Battery life,Cancellation request,Billing inquiry,Low,Low
141,Product setup,Cancellation request,Cancellation request,Critical,Critical
142,Software bug,Technical issue,Refund request,High,Low
143,Product compatibility,Billing inquiry,Product inquiry,High,High
144,Account access,Cancellation request,Refund request,Critical,Critical
145,Data loss,Refund request,Cancellation request,Low,Medium
146,Refund request,Cancellation request,Cancellation request,Medium,Low
147,Battery life,Cancellation request,Cancellation request,Low,Low
148,Product compatibility,Billing inquiry,Billing inquiry,Low,Low
149,Installation support,Refund request,Cancellation request,High,Critical
150,Peripheral compatibility,Technical issue,Technical issue,Critical,Low
151,Product recommendation,Refund request,Product inquiry,Critical,Critical
152,Display issue,Refund request,Refund request,Medium,Medium
153,Account access,Product inquiry,Product inquiry,Low,Low
154,Cancellation request,Technical issue,Product inquiry,Medium,Medium
155,Product recommendation,Technical issue,Technical issue,Medium,Low
156,Delivery problem,Cancellation request,Cancellation request,Low,High
157,Delivery problem,Product inquiry,Product inquiry,Low,Low
158,Refund request,Technical issue,Technical issue,Medium,Medium
159,Hardware issue,Product inquiry,Product inquiry,Low,Low
160,Cancellation request,Billing inquiry,Cancellation request,High,High
161,Account access,Refund request,Refund request,High,High
162,Product setup,Refund request,Refund request,High,Critical
163,Payment issue,Refund request,Refund request,Critical,Critical
164,Product recommendation,Cancellation request,Product inquiry,Medium,Critical
165,Product setup,Billing inquiry,Billing inquiry,Low,Critical
166,Network problem,Product inquiry,Billing inquiry,Low,Low
167,Battery life,Refund request,Refund request,Medium,Medium
168,Delivery problem,Technical issue,Technical issue,Medium,Medium
169,Delivery problem,Billing inquiry,Technical issue,High,High
170,Network problem,Product inquiry,Product inquiry,Medium,High
171,Product setup,Billing inquiry,Billing inquiry,Low,Low
172,Refund request,Refund request,Cancellation request,Low,Medium
173,Product compatibility,Cancellation request,Technical issue,Medium,Medium
174,Product recommendation,Refund request,Refund request,Medium,Medium
175,Data loss,Technical issue,Refund request,Critical,Critical
176,Delivery problem,Technical issue,Product inquiry,Medium,Low
177,Refund request,Technical issue,Cancellation request,Medium,Medium
178,Product recommendation,Cancellation request,Cancellation request,High,High
179,Peripheral compatibility,Billing inquiry,Billing inquiry,Medium,Medium
180,Data loss,Billing inquiry,Product inquiry,Critical,Critical
181,Product compatibility,Refund request,Product inquiry,Medium,Low
182,Account access,Cancellation request,Billing inquiry,Critical,High
183,Delivery problem,Product inquiry,Cancellation request,High,High
184,Network problem,Billing inquiry,Billing inquiry,Medium,Critical
185,Product setup,Refund request,Technical issue,High,High
186,Software bug,Technical issue,Refund request,Low,High
187,Refund request,Product inquiry,Cancellation request,Medium,Medium
188,Network problem,Cancellation request,Product inquiry,Low,Critical
189,Product compatibility,Refund request,Technical issue,High,High
190,Display issue,Technical issue,Technical issue,Critical,Low
191,Product setup,Refund request,Refund request,Critical,Critical
192,Delivery problem,Product inquiry,Product inquiry,Low,Low
193,Account access,Product inquiry,Product inquiry,Medium,Medium
194,Refund request,Cancellation request,Cancellation request,Critical,Critical
195,Payment issue,Billing inquiry,Billing inquiry,Medium,Medium
196,Product compatibility,Refund request,Technical issue,High,Medium
197,Display issue,Refund request,Refund request,Low,High
198,Delivery problem,Refund request,Product inquiry,High,High
199,Product setup,Cancellation request,Cancellation request,Critical,Critical
200,Software bug,Product inquiry,Product inquiry,Medium,Medium
201,Cancellation request,Product inquiry,Product inquiry,Critical,Critical
202,Delivery problem,Refund request,Refund request,Medium,Medium
203,Product setup,Billing inquiry,Billing inquiry,Medium,Medium
204,Battery life,Product inquiry,Cancellation request,Low,Medium
205,Software bug,Cancellation request,Billing inquiry,High,High
206,Delivery problem,Refund request,Refund request,Medium,Medium
207,Software bug,Billing inquiry,Refund request,High,Low
208,Display issue,Billing inquiry,Cancellation request,Critical,Medium
209,Account access,Refund request,Refund request,High,High
210,Delivery problem,Technical issue,Product inquiry,Low,Low
211,Software bug,Technical issue,Technical issue,Low,Low
212,Battery life,Product inquiry,Product inquiry,Low,Medium
213,Network problem,Technical issue,Technical issue,Medium,Medium
214,Installation support,Billing inquiry,Billing inquiry,High,Medium
215,Display issue,Product inquiry,Refund request,Low,Low
216,Peripheral compatibility,Billing inquiry,Technical issue,Critical,Critical
217,Delivery problem,Technical issue,Billing inquiry,High,High
218,Battery life,Billing inquiry,Billing inquiry,Low,Low
219,Battery life,Billing inquiry,Billing inquiry,Critical,Critical
220,Refund request,Technical issue,Technical issue,Critical,Critical
221,Installation support,Billing inquiry,Technical issue,Medium,Medium
222,Installation support,Billing inquiry,Billing inquiry,Critical,Low
223,Account access,Cancellation request,Refund request,Critical,Critical
224,Product recommendation,Refund request,Product inquiry,Low,Low
225,Network problem,Refund request,Refund request,Medium,High
226,Product recommendation,Technical issue,Technical issue,High,High
227,Product recommendation,Billing inquiry,Billing inquiry,High,Low
228,Product recommendation,Cancellation request,Cancellation request,Low,Critical
229,Product recommendation,Billing inquiry,Billing inquiry,Low,Low
230,Hardware issue,Technical issue,Cancellation request,Critical,Critical
231,Display issue,Refund request,Refund request,Low,Low
232,Account access,Technical issue,Technical issue,High,High
233,Display issue,Technical issue,Product inquiry,High,Critical
234,Hardware issue,Refund request,Refund request,High,Low
235,Product compatibility,Cancellation request,Technical issue,Critical,Critical
236,Peripheral compatibility,Billing inquiry,Billing inquiry,Critical,Critical
237,Refund request,Refund request,Refund request,Critical,Critical
238,Peripheral compatibility,Product inquiry,Technical issue,High,High
239,Product compatibility,Refund request,Refund request,Critical,Critical
240,Software bug,Cancellation request,Cancellation request,Low,Medium
241,Delivery problem,Technical issue,Cancellation request,Low,Low
242,Product compatibility,Billing inquiry,Refund request,Low,Low
243,Delivery problem,Technical issue,Refund request,Critical,High
244,Delivery problem,Technical issue,Product inquiry,Critical,Medium
245,Installation support,Cancellation request,Cancellation request,Medium,Medium
246,Product setup,Billing inquiry,Billing inquiry,Medium,Medium
247,Account access,Technical issue,Refund request,Medium,Medium
248,Hardware issue,Billing inquiry,Billing inquiry,Medium,Medium
249,Software bug,Refund request,Billing inquiry,Critical,Medium
250,Product compatibility,Refund request,Technical issue,High,Critical
251,Product setup,Technical issue,Refund request,Critical,Critical
252,Payment issue,Technical issue,Technical issue,Critical,Medium
253,Network problem,Cancellation request,Cancellation request,High,High
254,Cancellation request,Technical issue,Refund request,High,Low
255,Installation support,Refund request,Technical issue,Low,Low
256,Network problem,Refund request,Refund request,High,High
257,Installation support,Cancellation request,Cancellation request,High,High
258,Hardware issue,Cancellation request,Product inquiry,High,Critical
259,Cancellation request,Product inquiry,Cancellation request,High,High
260,Battery life,Billing inquiry,Technical issue,Low,Low
261,Network problem,Billing inquiry,Billing inquiry,High,Critical
262,Hardware issue,Billing inquiry,Refund request,Critical,Critical
263,Hardware issue,Product inquiry,Refund request,Medium,Medium
264,Display issue,Product inquiry,Product inquiry,Medium,High
265,Cancellation request,Refund request,Technical issue,Critical,High
266,Product compatibility,Cancellation request,Cancellation request,Medium,Medium
267,Product setup,Technical issue,Product inquiry,High,Medium
268,Product recommendation,Technical issue,Product inquiry,Low,High
269,Refund request,Cancellation request,Cancellation request,Medium,Medium
270,Hardware issue,Refund request,Refund request,High,Low
271,Data loss,Billing inquiry,Cancellation request,Critical,Critical
272,Payment issue,Refund request,Refund request,Critical,High
273,Cancellation request,Technical issue,Technical issue,Critical,Low
274,Hardware issue,Technical issue,Refund request,High,Low
275,Product setup,Cancellation request,Technical issue,Medium,Low
276,Network problem,Refund request,Refund request,Low,Medium
277,Product recommendation,Billing inquiry,Refund request,Medium,Medium
278,Refund request,Billing inquiry,Refund request,Medium,High
279,Software bug,Technical issue,Cancellation request,Low,Medium
280,Product recommendation,Billing inquiry,Billing inquiry,High,High
281,Refund request,Product inquiry,Cancellation request,Critical,Critical
282,Hardware issue,Product inquiry,Product inquiry,Low,Medium
283,Software bug,Cancellation request,Billing inquiry,Low,Medium
284,Payment issue,Technical issue,Cancellation request,Critical,High
285,Payment issue,Billing inquiry,Refund request,Low,Low
286,Peripheral compatibility,Technical issue,Technical issue,Medium,Medium
287,Cancellation request,Technical issue,Cancellation request,Critical,Critical
288,Product setup,Product inquiry,Product inquiry,Low,Medium
289,Delivery problem,Refund request,Refund request,High,Low
290,Product setup,Refund request,Technical issue,Critical,Critical
291,Payment issue,Billing inquiry,Billing inquiry,Low,Medium
292,Data loss,Cancellation request,Cancellation request,High,Medium
293,Product compatibility,Billing inquiry,Billing inquiry,High,High
294,Payment issue,Product inquiry,Cancellation request,Critical,Critical
295,Cancellation request,Product inquiry,Product inquiry,Critical,Critical
296,Data loss,Refund request,Refund request,Medium,Medium
297,Installation support,Billing inquiry,Cancellation request,Medium,Critical
298,Cancellation request,Cancellation request,Technical issue,Critical,Critical
299,Network problem,Product inquiry,Technical issue,Low,Medium
300,Product recommendation,Cancellation request,Technical issue,Medium,Low
301,Product recommendation,Cancellation request,Technical issue,High,High
302,Refund request,Cancellation request,Cancellation request,Medium,Medium
303,Peripheral compatibility,Product inquiry,Billing inquiry,Medium,Medium
304,Peripheral compatibility,Cancellation request,Cancellation request,Medium,Medium
305,Software bug,Cancellation request,Billing inquiry,Medium,Medium
306,Refund request,Cancellation request,Cancellation request,Critical,Critical
307,Peripheral compatibility,Refund request,Refund request,Low,Medium
308,Product compatibility,Technical issue,Cancellation request,Critical,Medium
309,Delivery problem,Product inquiry,Refund request,High,High
310,Software bug,Technical issue,Technical issue,High,High
311,Peripheral compatibility,Technical issue,Billing inquiry,High,Critical
312,Product setup,Refund request,Refund request,Critical,Critical
313,Battery life,Technical issue,Technical issue,Medium,Critical
314,Cancellation request,Product inquiry,Product inquiry,Low,Medium
315,Payment issue,Cancellation request,Cancellation request,High,High
316,Hardware issue,Cancellation request,Refund request,Critical,Critical
317,Hardware issue,Cancellation request,Cancellation request,High,Critical
318,Cancellation request,Technical issue,Technical issue,Low,Medium
319,Refund request,Billing inquiry,Cancellation request,Medium,Critical
320,Hardware issue,Refund request,Refund request,Critical,Critical
321,Software bug,Cancellation request,Cancellation request,Medium,High
322,Product setup,Billing inquiry,Billing inquiry,High,High
323,Battery life,Refund request,Refund request,Critical,Critical
324,Data loss,Technical issue,Product inquiry,Critical,Low
325,Battery life,Product inquiry,Cancellation request,Low,High
326,Hardware issue,Refund request,Refund request,Low,Low
327,Account access,Product inquiry,Technical issue,Critical,Critical
328,Delivery problem,Refund request,Technical issue,Low,High
329,Product compatibility,Technical issue,Technical issue,Medium,Medium
330,Product recommendation,Refund request,Refund request,Medium,Critical
331,Product recommendation,Refund request,Cancellation request,Low,Low
332,Account access,Cancellation request,Billing inquiry,Medium,High
333,Delivery problem,Technical issue,Technical issue,Medium,High
334,Installation support,Technical issue,Technical issue,Medium,High
335,Product recommendation,Product inquiry,Cancellation request,High,Critical
336,Installation support,Cancellation request,Cancellation request,High,High
337,Product compatibility,Technical issue,Technical issue,Critical,Critical
338,Account access,Technical issue,Refund request,High,High
339,Product compatibility,Technical issue,Billing inquiry,Critical,Medium
340,Data loss,Product inquiry,Product inquiry,Low,High
341,Cancellation request,Billing inquiry,Billing inquiry,Medium,Medium
342,Product compatibility,Cancellation request,Cancellation request,Critical,Medium
343,Cancellation request,Cancellation request,Cancellation request,Low,Medium
344,Refund request,Product inquiry,Product inquiry,Medium,Medium
345,Network problem,Technical issue,Technical issue,High,Low
346,Payment issue,Technical issue,Technical issue,High,High
347,Cancellation request,Technical issue,Technical issue,Low,Low
348,Product recommendation,Refund request,Billing inquiry,Medium,Medium
349,Battery life,Technical issue,Product inquiry,Medium,Medium
350,Battery life,Billing inquiry,Billing inquiry,Critical,Critical
351,Product compatibility,Cancellation request,Refund request,Critical,High
352,Account access,Cancellation request,Product inquiry,Medium,Medium
353,Installation support,Refund request,Refund request,High,Medium
354,Refund request,Cancellation request,Billing inquiry,Critical,Critical
355,Product recommendation,Billing inquiry,Billing inquiry,Medium,Medium
356,Product compatibility,Billing inquiry,Refund request,High,Low
357,Cancellation request,Technical issue,Product inquiry,High,Critical
358,Software bug,Refund request,Billing inquiry,Critical,Critical
359,Battery life,Billing inquiry,Billing inquiry,Low,Low
360,Product recommendation,Billing inquiry,Billing inquiry,Critical,Critical
361,Network problem,Cancellation request,Cancellation request,Medium,Medium
362,Product compatibility,Product inquiry,Product inquiry,Medium,Medium
363,Hardware issue,Product inquiry,Product inquiry,Low,Low
364,Battery life,Refund request,Cancellation request,Critical,Medium
365,Payment issue,Cancellation request,Product inquiry,High,Low
366,Peripheral compatibility,Billing inquiry,Cancellation request,Medium,Medium
367,Hardware issue,Cancellation request,Refund request,Critical,Critical
368,Peripheral compatibility,Billing inquiry,Cancellation request,Critical,Critical
369,Account access,Cancellation request,Technical issue,Low,Low
370,Software bug,Product inquiry,Cancellation request,Low,High
371,Account access,Refund request,Refund request,Medium,High
372,Battery life,Cancellation request,Billing inquiry,Medium,Medium
373,Battery life,Refund request,Technical issue,Medium,Critical
374,Cancellation request,Technical issue,Technical issue,Critical,High
375,Installation support,Product inquiry,Product inquiry,Low,Critical
376,Refund request,Product inquiry,Product inquiry,Low,Low
377,Hardware issue,Refund request,Refund request,Low,High
378,Product setup,Cancellation request,Refund request,Medium,Low
379,Data loss,Refund request,Product inquiry,Medium,Medium
380,Data loss,Refund request,Refund request,Medium,Medium
381,Peripheral compatibility,Product inquiry,Product inquiry,Low,Medium
382,Refund request,Product inquiry,Billing inquiry,High,Low
383,Product setup,Billing inquiry,Cancellation request,Critical,Critical
384,Display issue,Refund request,Technical issue,High,Low
385,Installation support,Product inquiry,Product inquiry,Critical,Critical
386,Software bug,Technical issue,Technical issue,Medium,High
387,Hardware issue,Cancellation request,Cancellation request,Critical,Critical
388,Data loss,Billing inquiry,Billing inquiry,High,High
389,Hardware issue,Refund request,Cancellation request,Medium,Low
390,Delivery problem,Billing inquiry,Billing inquiry,Medium,Medium
391,Display issue,Technical issue,Billing inquiry,High,Medium
392,Display issue,Refund request,Refund request,High,High
393,Battery life,Billing inquiry,Cancellation request,Critical,Medium
394,Delivery problem,Billing inquiry,Billing inquiry,High,High
395,Refund request,Product inquiry,Product inquiry,Critical,Medium
396,Delivery problem,Technical issue,Technical issue,Low,Medium
397,Refund request,Refund request,Refund request,Low,Low
398,Delivery problem,Refund request,Refund request,Medium,Low
399,Product recommendation,Billing inquiry,Billing inquiry,Critical,Low
400,Account access,Product inquiry,Technical issue,High,Low
401,Battery life,Billing inquiry,Billing inquiry,Medium,Medium
402,Display issue,Billing inquiry,Billing inquiry,Medium,Low
403,Cancellation request,Cancellation request,Cancellation request,Medium,Critical
404,Installation support,Billing inquiry,Billing inquiry,Low,Low
405,Battery life,Cancellation request,Cancellation request,Critical,Low
406,Peripheral compatibility,Technical issue,Product inquiry,Low,Low
407,Data loss,Refund request,Technical issue,High,High
408,Software bug,Technical issue,Cancellation request,Medium,Medium
409,Product compatibility,Product inquiry,Billing inquiry,Critical,Critical
410,Product recommendation,Product inquiry,Billing inquiry,Medium,Critical
411,Product recommendation,Cancellation request,Billing inquiry,Low,High
412,Hardware issue,Refund request,Refund request,Low,Low
413,Battery life,Refund request,Refund request,Medium,Medium
414,Product compatibility,Technical issue,Technical issue,Low,Medium
415,Display issue,Technical issue,Refund request,Critical,Medium
416,Data loss,Refund request,Cancellation request,Critical,Medium
417,Peripheral compatibility,Product inquiry,Cancellation request,Low,Medium
418,Account access,Refund request,Technical issue,Critical,High
419,Software bug,Technical issue,Technical issue,Low,Low
420,Network problem,Product inquiry,Product inquiry,Critical,Critical
421,Software bug,Billing inquiry,Billing inquiry,Critical,Critical
422,Refund request,Cancellation request,Technical issue,Medium,Low
423,Data loss,Cancellation request,Cancellation request,Low,Medium
424,Display issue,Product inquiry,Cancellation request,High,High
425,Hardware issue,Product inquiry,Cancellation request,High,High
426,Hardware issue,Product inquiry,Product inquiry,Low,Low
427,Installation support,Billing inquiry,Billing inquiry,High,High
428,Display issue,Technical issue,Refund request,Medium,Medium
429,Hardware issue,Refund request,Refund request,High,Low
430,Data loss,Refund request,Refund request,Low,High
431,Software bug,Cancellation request,Cancellation request,Low,Low
432,Product recommendation,Billing inquiry,Billing inquiry,Low,Low
433,Battery life,Product inquiry,Billing inquiry,Medium,Low
434,Peripheral compatibility,Product inquiry,Product inquiry,Low,Low
435,Software bug,Product inquiry,Product inquiry,Medium,Medium
436,Refund request,Billing inquiry,Billing inquiry,Critical,High
437,Network problem,Billing inquiry,Technical issue,Low,Critical
438,Product setup,Cancellation request,Technical issue,Critical,Critical
439,Delivery problem,Product inquiry,Technical issue,Medium,High
440,Network problem,Cancellation request,Technical issue,Low,Medium
441,Refund request,Cancellation request,Cancellation request,Low,Low
442,Data loss,Technical issue,Cancellation request,Medium,Medium
443,Software bug,Refund request,Refund request,Low,Critical
444,Delivery problem,Refund request,Cancellation request,Medium,Medium
445,Display issue,Technical issue,Refund request,Medium,Medium
446,Delivery problem,Technical issue,Technical issue,Low,High
447,Delivery problem,Cancellation request,Cancellation request,Medium,Medium
448,Delivery problem,Billing inquiry,Billing inquiry,High,High
449,Battery life,Cancellation request,Technical issue,Medium,Critical
450,Software bug,Refund request,Product inquiry,Critical,Critical
451,Product recommendation,Refund request,Billing inquiry,Critical,High
452,Display issue,Product inquiry,Billing inquiry,Low,Medium
453,Installation support,Billing inquiry,Refund request,Critical,Critical
454,Account access,Billing inquiry,Refund request,High,High
455,Network problem,Billing inquiry,Billing inquiry,Critical,Critical
456,Cancellation request,Refund request,Cancellation request,Low,Low
457,Cancellation request,Refund request,Refund request,Low,Low
458,Software bug,Refund request,Product inquiry,Critical,Medium
459,Delivery problem,Refund request,Refund request,Low,High
460,Payment issue,Product inquiry,Cancellation request,Low,Low
461,Product setup,Technical issue,Technical issue,Low,Medium
462,Delivery problem,Billing inquiry,Cancellation request,Critical,Critical
463,Account access,Product inquiry,Product inquiry,Medium,Low
464,Cancellation request,Product inquiry,Product inquiry,Medium,High
465,Cancellation request,Cancellation request,Billing inquiry,Critical,Critical
466,Product recommendation,Product inquiry,Product inquiry,High,Low
467,Account access,Technical issue,Technical issue,Medium,Medium
468,Delivery problem,Billing inquiry,Billing inquiry,Critical,Low
469,Network problem,Cancellation request,Billing inquiry,Low,Low
470,Account access,Technical issue,Technical issue,Low,Low
471,Data loss,Refund request,Refund request,Critical,High
472,Product compatibility,Product inquiry,Cancellation request,High,High
473,Refund request,Cancellation request,Billing inquiry,Medium,Medium
474,Hardware issue,Technical issue,Cancellation request,Medium,Critical
475,Account access,Product inquiry,Product inquiry,Low,Critical
476,Display issue,Billing inquiry,Billing inquiry,High,High
477,Installation support,Refund request,Refund request,Low,High
478,Installation support,Cancellation request,Cancellation request,Critical,Critical
479,Software bug,Billing inquiry,Billing inquiry,Low,Critical
480,Product setup,Refund request,Product inquiry,Critical,Low
481,Product recommendation,Cancellation request,Cancellation request,Medium,Low
482,Refund request,Cancellation request,Cancellation request,High,Critical
483,Peripheral compatibility,Technical issue,Product inquiry,Medium,High
484,Product setup,Technical issue,Cancellation request,Low,Critical
485,Data loss,Technical issue,Technical issue,Critical,Critical
486,Product compatibility,Product inquiry,Billing inquiry,Medium,High
487,Cancellation request,Refund request,Technical issue,High,Medium
488,Data loss,Technical issue,Technical issue,Critical,Critical
489,Network problem,Billing inquiry,Refund request,Medium,Medium
490,Hardware issue,Cancellation request,Cancellation request,High,High
491,Display issue,Billing inquiry,Billing inquiry,Low,Medium
492,Display issue,Technical issue,Technical issue,High,Medium
493,Account access,Billing inquiry,Technical issue,Critical,Critical
494,Payment issue,Refund request,Refund request,Critical,Critical
495,Product recommendation,Billing inquiry,Cancellation request,Low,High
496,Account access,Technical issue,Product inquiry,Low,Low
497,Installation support,Technical issue,Technical issue,Medium,High
498,Software bug,Product inquiry,Product inquiry,Medium,Medium
499,Refund request,Product inquiry,Product inquiry,Critical,Critical
500,Product setup,Billing inquiry,Technical issue,Critical,Low
501,Product compatibility,Cancellation request,Billing inquiry,High,High
502,Hardware issue,Billing inquiry,Product inquiry,Critical,Critical
503,Product recommendation,Technical issue,Billing inquiry,High,High
